id,loss
4,1578.6626198423987
6,2434.6141186951213
9,9086.777372054095
12,7085.76130188094
15,1050.0894627703035
17,2665.315816197388
21,2541.183883960284
28,1019.4924592747432
32,2753.0550241501896
43,3391.12143182812
46,2832.0402475247656
50,1027.3020881493378
54,1446.8407762592817
62,2557.3022669223246
70,2769.586690057803
71,5994.486035619852
75,2514.903488740416
77,3139.7594521035835
81,2917.2550432556077
83,2127.0740926254307
87,2244.5615774179423
97,2140.32797868406
103,1712.945530534706
119,1551.1764886744381
120,2006.3089733481477
127,1240.3443807509768
138,5098.4554552474665
141,3431.7923453784447
148,853.8022415090611
150,2962.0106287023464
151,2568.2157876819706
158,1987.0770079719705
160,7526.52017942759
165,2932.457531019234
168,3609.062840524042
169,4783.849922884142
177,3464.3831177958095
178,4368.931151974247
184,2152.4756491814815
194,9031.527194762708
198,1789.5837020611373
203,3549.244145907701
211,3125.390051641594
217,1357.492344255735
219,1247.621112250397
221,4721.288446273322
227,1803.970697728312
230,1867.6608965323678
235,2537.4662568092426
240,508.98665904525507
243,3239.4699858453614
249,9227.945018373324
253,3177.1843248137575
258,1854.3054133945134
261,2090.214631581756
263,3670.518946355637
264,2716.8376901899833
265,4422.025606267997
268,2366.4977640638294
271,730.6775241506728
274,5976.048993737122
275,376.49842455766435
279,1744.0327055043479
282,1676.2465103384466
286,3527.6592576162247
288,1581.7196050329594
294,2748.748549901813
296,1377.5642311795968
297,1540.0042396432204
300,777.1643689720166
303,10022.30190053408
314,1505.5188281563014
315,4625.63351342754
321,2953.4112003810756
323,4365.9448535091105
330,3803.763616918263
341,1832.7497621180705
342,5075.887802064166
352,1975.4221616880436
353,5078.834798604472
360,6969.725314583783
361,2823.7571859885147
362,3821.0659532451714
366,1525.4534480995255
372,3582.460573501784
376,2666.9253045991104
377,3202.201619746288
379,2054.6988525429533
380,3431.425403128862
387,2323.3505758993538
392,2099.052500206388
394,10700.838029785975
395,1490.5391325041753
397,1579.3738905119453
407,5414.040374673505
411,10691.438932458292
416,3039.8723572295316
417,1410.0120171425108
419,4547.7095965582375
428,5448.274176181269
431,1865.42659666092
436,10408.881643150786
438,1554.0023038116913
445,7481.865064372417
446,9388.621762502078
455,1652.1457034711093
456,1855.406733258342
461,1001.3181200951449
463,2008.228873800192
464,4153.76352325607
466,2270.280419625695
467,1933.275080914822
470,1326.5549591315405
475,1217.2665589038672
482,4523.000909925279
